,Tarantula,Ochiai,Ochiai2,Op2,SBI,Jaccard,Kulczynski,Dstar2
arja,42.86%,36.00%,37.10%,24.19%,50.49%,38.41%,38.41%,40.54%
avatar,54.23%,54.23%,54.23%,54.23%,54.23%,54.23%,54.23%,54.23%
cardumen,-7.32%,-7.32%,-7.32%,-7.32%,-7.32%,-7.32%,-7.32%,-7.32%
fixminer,7.68%,8.33%,7.68%,8.66%,7.68%,8.00%,8.00%,8.66%
genprog,57.22%,76.60%,76.00%,24.47%,74.87%,76.67%,76.67%,78.91%
jGenProg,7.81%,7.81%,7.81%,7.81%,7.81%,7.81%,7.81%,7.81%
jKali,34.62%,29.49%,34.62%,20.51%,34.62%,28.21%,28.21%,20.51%
jmutrepair,18.95%,16.34%,18.95%,7.19%,18.95%,12.09%,12.09%,7.19%
kali,3.51%,6.36%,5.48%,3.51%,6.36%,6.36%,6.36%,6.36%
kpar,37.56%,37.55%,37.63%,37.55%,37.56%,37.55%,37.55%,37.55%
rsrepair,11.89%,22.31%,24.11%,-9.95%,23.92%,23.59%,23.59%,21.84%
tbar,53.43%,52.74%,53.34%,52.77%,53.43%,53.08%,53.08%,52.71%
